num,dyad,id,time,RM,party,timecontrast1_pre_post,timecontrast2_pre_followup,timecontrast3_post_pre,timecontrast4_post_followup,timecontrast5_followup_pre,timecontrast6_followup_post,IH,affiliation_C
311,1082,89,2,2,-1,1,0,0,0,0,1,6,0.5517
312,1082,89,3,3,-1,0,1,0,1,0,0, ,0.5517
313,1082,67,1,4,1,0,0,1,0,1,0,4,0.5517
314,1082,67,2,5,1,1,0,0,0,0,1,5,0.5517
315,1082,67,3,6,1,0,1,0,1,0,0, ,0.5517
316,1085,482,1,1,-1,0,0,1,0,1,0,2,0.5517
317,1085,482,2,2,-1,1,0,0,0,0,1,4.5,0.5517
318,1085,482,3,3,-1,0,1,0,1,0,0, ,0.5517
319,1085,619,1,4,1,0,0,1,0,1,0,4,0.5517
320,1085,619,2,5,1,1,0,0,0,0,1,7,0.5517
321,1085,619,3,6,1,0,1,0,1,0,0,5.5,0.5517
322,1102,578,1,1,-1,0,0,1,0,1,0,4.5,-0.4483
323,1102,578,2,2,-1,1,0,0,0,0,1,6.5,-0.4483
324,1102,578,3,3,-1,0,1,0,1,0,0, ,-0.4483
325,1102,710,1,4,1,0,0,1,0,1,0,2,-0.6983
326,1102,710,2,5,1,1,0,0,0,0,1,4,-0.6983
327,1102,710,3,6,1,0,1,0,1,0,0, ,-0.6983
328,1106,656,1,1,-1,0,0,1,0,1,0,6,-0.4483
329,1106,656,2,2,-1,1,0,0,0,0,1,6,-0.4483
330,1106,656,3,3,-1,0,1,0,1,0,0,5,-0.4483
331,1106,111,1,4,1,0,0,1,0,1,0,6.5,0.5517
332,1106,111,2,5,1,1,0,0,0,0,1,6,0.5517
333,1106,111,3,6,1,0,1,0,1,0,0,6.5,0.5517
334,1116,841,1,1,-1,0,0,1,0,1,0,5,-0.114966667
335,1116,841,2,2,-1,1,0,0,0,0,1,5.5,-0.114966667
336,1116,841,3,3,-1,0,1,0,1,0,0, ,-0.114966667
337,1116,294,1,4,1,0,0,1,0,1,0,4.5,0.0517
338,1116,294,2,5,1,1,0,0,0,0,1,2.5,0.0517
339,1116,294,3,6,1,0,1,0,1,0,0, ,0.0517
